Geneid	3FG1	3FG2	3FG3	3FS1	3FS2	3FS3	3MG1	3MG2	3MG3	3MS1	3MS2	3MS3	3WM1	3WM2	3WM3
remanei_genome_00005895	147	149	196	584	386	1185	143	116	171	616	4308	1158	8532	8314	7934
remanei_genome_00005899	164	118	117	1230	921	2708	109	103	142	1328	2649	1499	1938	1940	1554
remanei_genome_00005901	1027	724	475	11876	7360	19837	713	311	580	5675	6214	6379	14846	14153	11657
remanei_genome_00005902	934	438	326	1982	884	1246	1163	360	423	2731	1336	1807	1986	2093	1944
remanei_genome_00005903	1704	1286	1020	3322	2512	5623	808	709	972	2973	5550	3152	7493	5288	5645
remanei_genome_00005910	950	707	817	8839	4103	8779	720	587	1348	3917	8983	5493	37675	35023	31697
remanei_genome_00005912	202	104	78	934	432	1330	133	108	127	1588	3009	1013	3858	4121	3310
remanei_genome_00005913	18	16	14	199	166	446	2	8	0	58	12	62	60	54	14
remanei_genome_00005914	10	2	4	40	20	96	184	200	388	238	1639	1445	772	674	640
remanei_genome_00005915	0	2	0	6	0	2	0	0	0	2	12	0	4	3	0
remanei_genome_00005916	145	45	28	312	191	192	225	77	120	614	227	232	289	449	202
remanei_genome_00005917	17	12	4	90	71	252	44	21	31	710	484	360	319	410	350
remanei_genome_00005918	879	976	588	1927	1522	2209	414	235	298	1444	1869	1409	2723	2655	2371
remanei_genome_00005919	166	58	66	246	120	316	186	44	103	497	500	149	488	652	500
remanei_genome_00005920	0	12	10	22	12	134	14	4	18	40	750	20	544	1181	740
remanei_genome_00005923	8	16	18	88	30	268	4	8	50	134	1627	81	1184	1358	1216
remanei_genome_00005925	8	8	16	57	20	198	9	4	10	198	1900	88	1514	2046	1808
remanei_genome_00005927	97	53	69	372	139	603	164	91	219	757	1628	893	2897	2498	2658
remanei_genome_00005928	69	91	56	495	458	815	189	107	60	1007	761	493	2489	2711	2040
remanei_genome_00005930	3736	2174	1857	4616	2623	4703	1072	777	912	3143	7795	4557	7675	8632	7710
remanei_genome_00005907	50	104	78	242	342	734	32	52	26	179	2058	420	2482	2884	2581
