Geneid	8FG1	8FG2	8FG3	8FS1	8FS2	8FS3	8MG1	8MG2	8MG3	8MS1	8MS2	8MS3	8WM1	8WM2	8WM3
latens_genome_00001693	12	18	0	4990	8	2338	1396	1142	649	75414	45127	78526	46250	26216	40010
latens_genome_00001695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001717	29067	33096	29362	26372	29220	19942	5293	1454	1615	8732	4859	7305	14460	20634	13443
latens_genome_00001718	5775	6865	8621	5014	6117	5993	1105	304	2160	1918	889	5964	3477	3226	3333
latens_genome_00001719	110	90	32	1091	784	850	59	16	14	1058	1322	954	2375	1714	900
latens_genome_00001737	0	0	0	8	0	0	109	270	10	50	49	16	25	6	27
latens_genome_00001743	88	83	113	261	151	251	29	14	17	249	279	310	449	455	319
latens_genome_00001744	11477	14641	12807	9596	9621	7544	2033	990	1898	1780	1490	4047	4184	6417	3703
latens_genome_00001745	466	999	176	1478	4471	2390	2948	226	36	4956	2624	1630	79657	80157	70917
latens_genome_00001746	12724	10090	5148	32360	39610	31914	10366	3776	6683	17462	15030	34808	31808	33023	31816
latens_genome_00001720	162	308	328	212	258	184	270	222	40	724	255	90	150	162	88
latens_genome_00001721	21559	21973	24311	14832	11941	10276	1082	394	181	617	615	570	2334	7111	3254
latens_genome_00001722	25699	25360	33495	14219	17238	16649	1232	314	241	544	563	611	4231	14173	5113
latens_genome_00001723	35309	40959	47179	22126	28237	23825	999	313	534	450	625	1180	4901	18092	7068
latens_genome_00001724	34	21	52	104	74	126	157	400	33	717	665	180	280	164	155
latens_genome_00001725	20	26	26	18	10	36	127	31	40	191	192	107	436	246	146
latens_genome_00001726	14	26	19	85	34	37	135	146	14	392	561	130	506	324	243
latens_genome_00001727	13	5	0	30	10	20	149	129	23	156	240	116	149	107	88
latens_genome_00001728	14	0	8	29	51	28	182	250	33	349	389	116	207	165	137
latens_genome_00001729	26	6	0	40	2	26	234	272	30	344	392	198	232	107	100
latens_genome_00001731	124	51	69	75	28	40	6	6	2	69	88	32	171	75	58
latens_genome_00001732	364	536	646	302	380	304	1913	2322	270	868	642	134	288	198	262
latens_genome_00001733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001734	0	0	0	14	12	2	6	28	2	82	88	22	58	46	34
latens_genome_00001735	92	346	10	234	2860	192	348	134	44	248	460	174	9248	6860	9075
latens_genome_00001736	0	0	0	492	0	54	20	58	33	2994	3651	2618	1865	941	511
latens_genome_00001738	0	14	0	2183	12	136	80	300	106	10726	19363	13743	12360	5418	3298
latens_genome_00001739	52	18	24	464	347	240	8	30	64	1119	1763	2307	5241	3318	3081
latens_genome_00001740	868	3319	30	1979	18005	1354	7307	858	12	11136	6201	130	24487	45200	24065
latens_genome_00001741	0	0	0	2	0	0	0	1	4	0	0	26	0	0	0
latens_genome_00001742	0	0	3	2	1	0	0	4	0	4	2	0	0	0	2
latens_genome_00001730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001765	296630	384732	302805	240704	277335	175114	142108	83640	119253	176662	87085	143415	158662	179442	149754
latens_genome_00001766	18742	22961	22639	13029	14560	10416	4642	3857	5238	3740	3138	3862	4724	7362	4865
latens_genome_00001768	436	322	312	2196	2732	4305	516	192	340	1596	1770	3726	6985	6761	5696
latens_genome_00001769	154	124	198	2110	1334	1542	364	192	279	7390	5229	6127	2492	2481	2311
latens_genome_00001770	59	38	72	520	431	529	79	110	103	1217	1255	1283	655	502	513
latens_genome_00001772	42399	25866	30019	29169	23770	25623	7811	2525	5803	7350	6840	10744	38798	54464	34012
latens_genome_00001775	23253	30779	30964	18364	23697	13035	5028	8475	6934	6343	5481	4654	4942	8711	4925
latens_genome_00001776	12981	2293	2810	64670	23565	83236	3748	2217	2671	20183	22040	40827	88785	77314	98969
latens_genome_00001782	33694	41583	33112	40239	49048	46319	28941	12087	22576	19708	18406	46625	68869	63824	62068
latens_genome_00001783	7246	7299	5925	5871	5652	4427	1376	1335	1009	995	1411	1422	2800	4275	2425
latens_genome_00001787	12	22	28	72	64	100	24	42	44	308	328	454	398	332	226
latens_genome_00001788	26735	29429	25485	21974	29776	20997	9426	3280	5410	11866	6456	11964	17653	19700	15272
latens_genome_00001789	1270	896	648	6735	11049	6487	1096	1541	684	6738	9406	9409	7212	5894	5870
latens_genome_00001790	1045	542	640	2687	2568	3601	563	384	758	1673	2098	4506	3653	3423	3166
latens_genome_00001771	12014	13912	11691	9402	12067	8724	2464	2497	2463	1498	2296	2266	3281	6706	2919
latens_genome_00001773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001780	16063	17961	18399	21096	17428	19509	8489	4541	3626	13607	11984	11648	15154	15628	13330
latens_genome_00001781	19924	19476	23297	13312	11350	12685	3875	1170	3959	1393	1104	2753	4723	10513	4642
latens_genome_00001784	3	2	12	9	16	21	0	4	11	15	25	13	46	70	17
latens_genome_00001785	22	14	17	118	79	79	12	24	12	271	208	436	303	213	191
latens_genome_00001786	64	88	92	308	276	396	86	42	64	246	336	603	1110	1034	988
latens_genome_00001791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001792	82	76	84	406	440	304	90	28	62	222	224	500	441	502	397
latens_genome_00001767	4	0	2	32	14	54	8	11	0	76	54	3	40	40	24
latens_genome_00001795	16035	9139	14289	9454	7779	9894	1848	588	1060	2138	2090	3074	15853	20724	13401
latens_genome_00001796	2	2	7	10	28	13	123	141	270	50	69	85	57	35	13
latens_genome_00001802	34	18	8	94	12	100	52	32	6	96	162	136	482	234	154
latens_genome_00001803	20	394	50	185	6015	652	282	92	38	652	1183	626	5030	4160	4419
latens_genome_00001804	3	2	0	0	74	22	2	4	0	22	66	10	98	54	71
latens_genome_00001807	34	28	33	70	88	100	63	58	74	54	42	94	690	296	180
latens_genome_00001810	2526	1483	2297	2324	2019	2826	29544	13053	17174	10298	6757	10336	9923	6138	5683
latens_genome_00001813	1000	240	282	4081	2728	3306	480	484	467	3402	4351	3509	3098	2343	2778
latens_genome_00001814	507	585	420	522	522	320	125	62	80	396	422	718	295	286	308
latens_genome_00001816	60979	57649	55429	34705	42743	34162	30819	10569	23053	20258	12315	20882	64164	73223	54525
latens_genome_00001817	81145	68777	54526	79238	60550	46508	23530	5454	9224	28018	14812	28148	41512	59953	38952
latens_genome_00001818	16637	17391	13605	13368	13603	10197	5739	3855	5657	2505	2956	3684	6050	9039	5127
latens_genome_00001797	567	64	303	1315	401	1199	7988	13607	1506	4840	4965	3256	2170	1255	1223
latens_genome_00001798	136	918	143	494	3283	1748	344	263	36	1637	1238	390	19527	17421	15509
latens_genome_00001799	274	2601	233	1032	7749	3035	832	391	216	3585	1937	1560	54971	39675	36702
latens_genome_00001800	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5
latens_genome_00001801	16	656	50	80	3724	1132	434	106	2	1180	995	138	7729	9769	10070
latens_genome_00001805	1101	5338	3647	6404	27163	28254	4762	2052	5070	14599	16558	27424	24002	20639	16668
latens_genome_00001806	8	2	0	4	4	12	14	28	16	0	28	12	24	30	14
latens_genome_00001808	36	48	46	90	26	34	8	0	12	91	24	60	94	58	43
latens_genome_00001809	5	2	4	63	28	53	12	2	52	50	52	105	218	188	133
latens_genome_00001811	54	46	78	438	214	371	378	196	254	527	431	512	1133	747	683
latens_genome_00001812	8428	5759	3830	8693	7944	7899	45448	36014	41809	17663	18130	24767	18703	11307	12315
latens_genome_00001815	16347	17464	12095	13996	14553	11575	2465	1236	2469	1557	1591	3301	8040	11542	8062
latens_genome_00001794	2	0	0	1	1	0	0	0	0	1	4	0	2	2	6
latens_genome_00001793	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0
latens_genome_00001841	18	12	15	82	54	128	124	98	26	141	107	186	255	212	206
